file,line,operation,api_matches,canonical_reference,text
DATA_CONTRACT.md,52,read,read_screen_aggregate;read_returns,True,"from tp_core.io import read_screen_aggregate, read_returns"
DATA_CONTRACT.md,55,read,read_screen_aggregate,True,screen = read_screen_aggregate()
DATA_SOURCES.md,31,read,read_screen_aggregate;read_returns,True,"from tp_core.io import read_returns, read_screen_aggregate"
README.md,29,read,read_screen_aggregate;read_returns,True,"from tp_core.io import read_screen_aggregate, read_returns"
README.md,31,read,read_screen_aggregate,True,screen = read_screen_aggregate()
00_screen/说明文档/screen_returns_context.md,58,read,read_screen_aggregate;read_returns,True,"from tp_core.io import read_returns, read_screen_aggregate"
00_screen/说明文档/screen_returns_context.md,60,read,read_screen_aggregate,True,screen = read_screen_aggregate()
11_docs/ENVIRONMENT.md,63,read,read_screen_aggregate;read_returns,True,"from tp_core.io import read_screen_aggregate, read_returns"
src/presentation_layer/data_repository.py,12,read,read_screen_aggregate;read_last_screen;read_returns,True,"from tp_core.io import read_last_screen, read_returns, read_screen_aggregate"
src/presentation_layer/data_repository.py,32,read,read_screen_aggregate;read_last_screen,True,return read_last_screen() if last_only else read_screen_aggregate()
src/presentation_layer/data_repository.py,85,read,read_parquet,True,"frame = pd.read_parquet(SCREEN_AGGREGATE_PATH, filters=[(""ISIN"", ""=="", isin)])"
src/presentation_layer/apps/system_checks.py,71,read,read_last_screen,True,"""from tp_core.io import read_last_screen; """
src/presentation_layer/apps/system_checks.py,73,read,read_last_screen,True,"""print(read_last_screen(columns=['Date','ISIN']).shape)"""
src/tp_core/io.py,18,read,read_screen_aggregate,True,def read_screen_aggregate(
src/tp_core/io.py,32,read,read_last_screen,True,def read_last_screen(
src/tp_core/io.py,38,read,read_screen_aggregate,True,"return read_screen_aggregate(path, columns=columns, drop_deprecated=drop_deprecated, normalize_dates=normalize_dates)"
src/tp_core/io.py,47,read,read_screen_aggregate,True,"return read_screen_aggregate(path, columns=columns, drop_deprecated=drop_deprecated, normalize_dates=normalize_dates)"
src/tp_core/io.py,50,read,read_returns,True,"def read_returns(path: str | Path = RETURNS_PATH, columns: Iterable[str] | None = None) -> pd.DataFrame:"
src/tp_core/signals.py,176,read,read_last_screen,True,from .io import read_last_screen
src/tp_core/signals.py,179,read,read_last_screen,True,"mapping = read_last_screen(columns=[""Company SEDOL"", ""ISIN""])"
src/tp_core/signals.py,181,read,read_last_screen,True,mapping = read_last_screen()
src/tp_models/factor_recommendation/cli.py,21,read,read_screen_aggregate,True,from tp_core.io import read_screen_aggregate
src/tp_models/factor_recommendation/cli.py,103,read,read_screen_aggregate,True,screen = read_screen_aggregate(
src/tp_models/factor_recommendation/cli.py,120,read,read_screen_aggregate,True,screen = read_screen_aggregate(
